2025-08-04 22:27:35,836 | INFO | Epoch 9 | Val Acc: 0.7758
2025-08-04 22:27:35,856 | INFO | Epoch 9 | Val Precision: 0.7191, Recall: 0.9980, F1: 0.8359, AP: 0.7189
2025-08-04 22:27:35,856 | INFO | Epoch 9 | Val AUC: 0.7381
2025-08-04 22:28:08,498 | INFO | Epoch 10 | Train Loss: 6.6743, Train Acc: 0.9907
2025-08-04 22:28:08,537 | INFO | Epoch 10 | Train Precision: 0.9919, Recall: 0.9917, F1: 0.9918, AP: 0.9884
2025-08-04 22:28:08,537 | INFO | Epoch 10 | Train AUC: 0.9905
2025-08-04 22:28:13,582 | INFO | Epoch 10 | Val Acc: 0.7927
2025-08-04 22:28:13,605 | INFO | Epoch 10 | Val Precision: 0.7386, Recall: 0.9872, F1: 0.8450, AP: 0.7365
2025-08-04 22:28:13,605 | INFO | Epoch 10 | Val AUC: 0.7597
2025-08-04 22:28:45,906 | INFO | Epoch 11 | Train Loss: 5.6177, Train Acc: 0.9922
2025-08-04 22:28:45,982 | INFO | Epoch 11 | Train Precision: 0.9928, Recall: 0.9936, F1: 0.9932, AP: 0.9900
2025-08-04 22:28:45,982 | INFO | Epoch 11 | Train AUC: 0.9920
2025-08-04 22:28:50,842 | INFO | Epoch 11 | Val Acc: 0.8569
2025-08-04 22:28:50,860 | INFO | Epoch 11 | Val Precision: 0.8033, Recall: 0.9931, F1: 0.8882, AP: 0.8018
2025-08-04 22:28:50,861 | INFO | Epoch 11 | Val AUC: 0.8338
2025-08-04 22:29:23,499 | INFO | Epoch 12 | Train Loss: 4.9354, Train Acc: 0.9926
2025-08-04 22:29:23,560 | INFO | Epoch 12 | Train Precision: 0.9936, Recall: 0.9934, F1: 0.9935, AP: 0.9908
2025-08-04 22:29:23,560 | INFO | Epoch 12 | Train AUC: 0.9925
2025-08-04 22:29:29,049 | INFO | Epoch 12 | Val Acc: 0.7515
2025-08-04 22:29:29,067 | INFO | Epoch 12 | Val Precision: 0.6976, Recall: 0.9990, F1: 0.8215, AP: 0.6975
2025-08-04 22:29:29,068 | INFO | Epoch 12 | Val AUC: 0.7097
2025-08-04 22:30:01,392 | INFO | Epoch 13 | Train Loss: 4.4783, Train Acc: 0.9942
2025-08-04 22:30:01,432 | INFO | Epoch 13 | Train Precision: 0.9949, Recall: 0.9949, F1: 0.9949, AP: 0.9927
2025-08-04 22:30:01,432 | INFO | Epoch 13 | Train AUC: 0.9941
2025-08-04 22:30:06,466 | INFO | Epoch 13 | Val Acc: 0.8620
2025-08-04 22:30:06,491 | INFO | Epoch 13 | Val Precision: 0.8086, Recall: 0.9941, F1: 0.8918, AP: 0.8073
2025-08-04 22:30:06,492 | INFO | Epoch 13 | Val AUC: 0.8396
2025-08-04 22:30:38,905 | INFO | Epoch 14 | Train Loss: 7.9146, Train Acc: 0.9896
